Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
grand multicuisine restaurant & ac party hall,banquet halls,5.0,1,350.0,21,180,300,chennai,2
jms paradise hall,banquet halls,5.0,0,250.0,21,500,750,chennai,2
andal kalyana mandapam,"banquet halls, kalyana mandapams",5.0,0,300.0,21,500,750,chennai,2
buhari banquet hall,banquet halls,5.0,0,800.0,21,450,600,chennai,3
krishnavillasam restaurant and banquet hall,small function / party halls,5.0,0,350.0,21,90,150,chennai,2
sri vignesh mahal,"banquet halls, 3 star hotels with banquets",5.0,0,300.0,11,400,600,chennai,3
bhavani's party hall,banquet halls,5.0,0,300.0,21,200,300,chennai,2
the ladies club,banquet halls,5.0,0,400.0,21,300,400,pune,3
"country club, undri, pune","banquet halls, marriage garden / lawns",5.0,1,500.0,18,125,700,pune,3
"wildernest hill top resort, sinhagad road","banquet halls, marriage garden / lawns",5.0,1,550.0,22,120,400,pune,3
noorya hometel,"banquet halls, marriage garden / lawns",5.0,3,550.0,117,550,650,pune,3
pancharatna mangal karyalay,"marriage garden / lawns, kalyana mandapams",5.0,0,400.0,21,500,600,pune,2
"ambar mangal karyalay, kothrud","banquet halls, convention / function halls",5.0,1,300.0,21,450,600,pune,2
azzurro lounge,"banquet halls, convention / function halls",5.0,0,550.0,21,800,1500,pune,2
penthouze,party restaurants / lounge bars,5.0,0,1000.0,21,340,450,pune,1
d palace,"banquet halls, party restaurants / lounge bars",5.0,0,450.0,21,20,60,pune,2
hotel raviraj,"banquet halls, small function / party halls",5.0,0,450.0,21,200,500,pune,1
grand mehfil,"banquet halls, party restaurants / lounge bars",5.0,0,600.0,2,225,300,pune,3
executive tamanna hotel,"banquet halls, 3 star hotels with banquets",5.0,2,699.0,40,300,1000,pune,3
krushnai lawns,"banquet halls, marriage garden / lawns",5.0,1,800.0,21,240,1200,pune,2
golden ring resort,"banquet halls, venues with rooms",5.0,0,800.0,5,400,500,pune,3
"kokkita banquet, hadapsar",banquet halls,5.0,1,600.0,21,150,250,pune,2
smoke lounge,party restaurants / lounge bars,5.0,0,300.0,21,50,250,lucknow,1
mehndi lawn,marriage garden / lawns,5.0,0,300.0,21,320,500,lucknow,2
basankunj lawn and resort,"banquet halls, marriage garden / lawns",5.0,0,400.0,21,120,500,lucknow,2
gold marriage lawn,"banquet halls, convention / function halls",5.0,0,700.0,21,300,500,lucknow,2
new kumar hotel & banquet,"banquet halls, 3 star hotels with banquets",5.0,0,500.0,11,180,300,lucknow,3
shashwat palace,"banquet halls, marriage garden / lawns",5.0,0,450.0,8,100,350,lucknow,3
hotel silvete,"banquet halls, 3 star hotels with banquets",5.0,0,1100.0,27,60,150,lucknow,3
hotel triton inn,"3 star hotels with banquets, small function / party halls",5.0,0,800.0,22,100,150,lucknow,3
moon wedding bells banquets,"banquet halls, marriage garden / lawns",5.0,0,65000.0,8,150,700,lucknow,4
hotel arjun international,"banquet halls, 3 star hotels with banquets",5.0,0,550.0,30,90,150,lucknow,3
jashn-e-bahar,"banquet halls, marriage garden / lawns",5.0,0,500.0,21,250,600,lucknow,2
hotel sugan niwas palace,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,500.0,21,200,500,jaipur,2
jamwai bagh garden,"banquet halls, marriage garden / lawns",5.0,0,50000.0,21,200,500,jaipur,2
cygnett style ganga,"banquet halls, marriage garden / lawns",5.0,0,1099.0,44,160,250,jaipur,3
heera valley resort,marriage garden / lawns,5.0,1,700.0,21,500,700,jaipur,3
patan mahal,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,1000.0,19,120,1500,jaipur,3
the yellow chilli,small function / party halls,5.0,1,850.0,21,100,150,jaipur,2
"desert resort, mandawa","marriage garden / lawns, 3 star hotels with banquets",5.0,1,2200.0,80,300,1500,jaipur,3
hotel royal amer,"banquet halls, 3 star hotels with banquets",5.0,0,600.0,11,180,300,jaipur,3
the wall street hotel,"banquet halls, 3 star hotels with banquets",5.0,0,500.0,32,120,200,jaipur,3
rose amer,"banquet halls, marriage garden / lawns",5.0,1,3000.0,8,70,300,jaipur,3
the haveli ralawata,"banquet halls, marriage garden / lawns",5.0,1,500.0,35,350,1500,jaipur,3
hotel raghav palace,"banquet halls, 3 star hotels with banquets",5.0,0,250.0,30,130,200,jaipur,3
vrindavan marriage garden,"banquet halls, marriage garden / lawns",5.0,1,800.0,21,200,500,jaipur,1
vrindavan palace,"banquet halls, marriage garden / lawns",5.0,0,700.0,21,200,600,jaipur,3
hotel dev villas,"3 star hotels with banquets, small function / party halls",5.0,0,400.0,10,60,100,jaipur,2
shyam vatika,marriage garden / lawns,5.0,0,400.0,21,700,1000,jaipur,2
mannat farms surajkund,"banquet halls, marriage garden / lawns",5.0,2,1200.0,10,300,700,ncr,3
crown banquet,banquet halls,5.0,1,900.0,21,120,180,ncr,2
golden leaf banquet,"banquet halls, 3 star hotels with banquets",5.0,4,900.0,60,500,800,ncr,3
bamyan the boutique hotel,"3 star hotels with banquets, venues with rooms",5.0,2,700.0,23,700,900,ncr,3
dilli 59 party hall,banquet halls,5.0,1,675.0,21,300,400,ncr,2
dramebaaz,small function / party halls,5.0,1,750.0,21,80,120,ncr,2
 harnarain palace,banquet halls,5.0,3,1500.0,21,150,250,ncr,2
hotel house inn,"banquet halls, 3 star hotels with banquets",5.0,4,850.0,25,120,180,ncr,3
the visaya,"3 star hotels with banquets, venues with rooms",4.5,2,1100.0,35,70,120,ncr,3
grand utsav banquet rani bagh,"banquet halls, marriage garden / lawns",5.0,1,300.0,4,800,900,ncr,4
"the zest, delhi","banquet halls, convention / function halls",5.0,1,800.0,21,800,900,ncr,2
"rockland hotel, panchsheel enclave","3 star hotels with banquets, venues with rooms",5.0,5,850.0,22,850,950,ncr,3
badhai banquet,"banquet halls, convention / function halls",5.0,2,750.0,21,750,850,ncr,2
chanson banquets,"banquet halls, small function / party halls",5.0,5,1100.0,18,40,250,ncr,3
all heavens gold,"banquet halls, 3 star hotels with banquets",5.0,3,1000.0,15,150,450,ncr,3
virgo comfort homes,"banquet halls, marriage garden / lawns",5.0,0,500.0,60,100,325,chennai,3
selvarani thirumana mandapam,"banquet halls, kalyana mandapams",5.0,0,400.0,21,350,500,chennai,3
firms banquet hall,"banquet halls, venues with rooms",5.0,2,104000.0,2,100,250,chennai,4
sri sastha mini hall a/c,banquet halls,5.0,2,350.0,21,200,300,chennai,2
sri napa marriage hall,banquet halls,5.0,0,350.0,21,500,600,chennai,2
asb mahal,banquet halls,5.0,0,350.0,21,500,750,chennai,2
sakthi marimuthu kamalaveni mahal,banquet halls,5.0,0,300.0,21,400,600,chennai,2
sri sundara vinayagar mahaal,banquet halls,5.0,0,350.0,21,750,1200,chennai,2
vs party hall,banquet halls,5.0,0,50000.0,7,250,400,chennai,4
four points mahabalipuram resort and convention center,"4 star & above wedding hotels, banquet halls",5.0,1,1500.0,21,200,500,chennai,2
r.e mahal,banquet halls,5.0,0,300.0,21,400,600,chennai,2
pritha palace marriage hall,banquet halls,5.0,1,350.0,21,240,400,chennai,2
js thirumana mandapam,banquet halls,5.0,0,350.0,21,600,900,chennai,2
"welcomhotel by itc hotels, kences palm beach","4 star & above wedding hotels, banquet halls",4.6,4,800.0,94,60,1500,chennai,3
sindhu sadan marriage hall,banquet halls,5.0,0,300.0,21,350,500,chennai,2
the fern residency vadgaon - talegaon,"4 star & above wedding hotels, banquet halls",5.0,0,1199.0,109,200,300,pune,3
amanzi resort,"marriage garden / lawns, venues with rooms",5.0,1,3450.0,12,36,150,pune,3
vinkar sabhagruha hall,"banquet halls, convention / function halls",5.0,1,550.0,21,300,600,pune,3
"om gurudev mangal karyalaya, alandi","banquet halls, convention / function halls",5.0,0,200.0,21,600,1500,pune,2
gangaas banquet,banquet halls,5.0,0,550.0,21,150,250,pune,2
hotel vegas,"banquet halls, marriage garden / lawns",5.0,0,250.0,23,250,300,pune,3
somvanshi arya kshatriya samaj mangal karyalaya,banquet halls,5.0,0,350.0,21,280,400,pune,2
gajanan mangal karyalay,banquet halls,5.0,0,50000.0,21,350,400,pune,3
mayuri lawns,marriage garden / lawns,5.0,0,400.0,21,450,1200,pune,2
la bali bar & kitchen,"banquet halls, party restaurants / lounge bars",5.0,0,700.0,1,150,200,pune,3
heart staycation - nexus villa,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,165000.0,12,100,150,pune,4
panchvati hotel,"banquet halls, 3 star hotels with banquets",5.0,0,400.0,11,180,300,lucknow,3
happiness marriage lawn,marriage garden / lawns,5.0,0,60000.0,21,800,1000,lucknow,3
sa marriage lawn,marriage garden / lawns,5.0,0,70000.0,7,400,500,lucknow,4
phoenix lawn and banquet hall,"banquet halls, marriage garden / lawns",5.0,0,900.0,21,800,900,lucknow,1
jashn marriage party lawns & resort,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,230000.0,21,450,700,lucknow,4
hotel olive crown,"3 star hotels with banquets, venues with rooms",5.0,0,750.0,14,150,200,lucknow,3
ficus garden,marriage garden / lawns,5.0,0,400.0,21,400,600,lucknow,2
ramkunj lawn and guest house,banquet halls,5.0,0,1000.0,21,200,500,lucknow,1
rohia banquet marriage hall,"banquet halls, marriage garden / lawns",5.0,0,650.0,7,380,550,lucknow,3
chulha restaurant by paras inn,3 star hotels with banquets,5.0,0,1300.0,25,200,700,lucknow,3
hotel ranbirs,"4 star & above wedding hotels, banquet halls",4.5,1,1400.0,39,150,420,lucknow,3
rbm banquets,banquet halls,4.5,1,500.0,21,180,300,lucknow,2
ceremony point,"banquet halls, marriage garden / lawns",5.0,0,550.0,21,60,300,lucknow,2
aabhas lawn,marriage garden / lawns,5.0,0,400.0,21,400,600,lucknow,2
deep palace,banquet halls,5.0,1,1500.0,21,150,350,lucknow,2
parvati lawn,marriage garden / lawns,5.0,0,600.0,21,350,500,lucknow,2
lenur banquet,"banquet halls, 3 star hotels with banquets",5.0,0,650.0,25,150,250,lucknow,3
padmini heritage,"banquet halls, 3 star hotels with banquets",5.0,0,400.0,12,100,150,jaipur,3
dee boat house,"banquet halls, marriage garden / lawns",5.0,0,1100.0,21,60,300,jaipur,2
