Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
sereniity resort,"banquet halls, marriage garden / lawns",5.0,1,800.0,22,400,700,pune,4
symphony hall,"banquet halls, small function / party halls",5.0,0,250.0,21,100,150,pune,2
tarsh gastronomia,banquet halls,5.0,0,699.0,21,120,200,pune,2
the royals,"banquet halls, marriage garden / lawns",5.0,0,500.0,21,250,400,pune,2
shahi shehanai mangal karyalaya,"banquet halls, 3 star hotels with banquets",5.0,0,450.0,15,350,500,pune,3
"raghunandan hall, sinhagad road","banquet halls, marriage garden / lawns",5.0,0,400.0,21,200,500,pune,1
hotel sai niwas,"marriage garden / lawns, venues with rooms",5.0,0,800.0,22,30,50,pune,3
"manali resort, hadapsar","banquet halls, marriage garden / lawns",5.0,1,250.0,21,200,500,pune,2
the elite suites,"banquet halls, 3 star hotels with banquets",5.0,1,450.0,34,175,300,pune,3
hotel janjira,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,11,180,300,pune,3
awadh marriage lawn,marriage garden / lawns,5.0,0,500.0,21,250,400,lucknow,2
drosia marraige lawn,"banquet halls, marriage garden / lawns",5.0,0,400.0,21,70,1000,lucknow,2
hotel uday raj palace,"banquet halls, 3 star hotels with banquets",5.0,1,700.0,22,350,550,lucknow,3
mahi banquet,"banquet halls, marriage garden / lawns",5.0,0,650.0,21,150,300,lucknow,2
the saffron banquet,banquet halls,5.0,0,850.0,21,300,450,lucknow,2
hotel shanta inn,"banquet halls, 3 star hotels with banquets",5.0,0,450.0,30,250,350,lucknow,3
ss grandeur,"banquet halls, 3 star hotels with banquets",5.0,0,900.0,19,100,150,lucknow,3
hotel divine classic inn,banquet halls,5.0,0,400.0,21,120,200,lucknow,2
emerald palms,marriage garden / lawns,5.0,0,800.0,21,600,1000,lucknow,2
hotel continental lucknow,"banquet halls, marriage garden / lawns",5.0,0,600.0,42,300,500,lucknow,3
baba marriage and utsav lawn,marriage garden / lawns,5.0,0,700.0,21,500,800,lucknow,2
ranthambore banquet hall and lawn,"banquet halls, marriage garden / lawns",5.0,0,1400.0,18,400,1500,lucknow,3
kn lawn,"banquet halls, marriage garden / lawns",5.0,0,700.0,21,150,600,lucknow,3
jaipur bungalow,"banquet halls, 3 star hotels with banquets",5.0,0,450.0,15,50,80,jaipur,3
panigrahan jagatpura,"banquet halls, marriage garden / lawns",5.0,0,1200.0,3,150,1200,jaipur,3
ankur banquet hall,"banquet halls, venues with rooms",5.0,0,450.0,2,250,400,jaipur,3
rajmangal benquet hall & marriage garden,"banquet halls, marriage garden / lawns",5.0,0,20000.0,2,100,300,jaipur,4
apple inn,"banquet halls, 3 star hotels with banquets",5.0,0,550.0,18,200,300,jaipur,4
durga marriage garden,marriage garden / lawns,5.0,0,400.0,21,750,1000,jaipur,2
b 5 marriage party lawn,marriage garden / lawns,5.0,0,500.0,21,800,1200,jaipur,2
pink city restaurant,"banquet halls, marriage garden / lawns",5.0,0,550.0,21,80,350,jaipur,2
mulberry farms,"marriage garden / lawns, venues with rooms",5.0,0,500000.0,3,300,400,jaipur,4
al firangi,small function / party halls,5.0,0,500.0,21,70,120,jaipur,2
hotel nand palace restro & lounge,"small function / party halls, small function / party halls",5.0,0,450.0,18,60,100,jaipur,3
hotel nilax,"banquet halls, 3 star hotels with banquets",5.0,1,600.0,27,150,200,jaipur,3
hotel galaxy inn,"banquet halls, 3 star hotels with banquets",5.0,0,700.0,23,400,600,jaipur,3
hotel sewa grand hotel,"banquet halls, 3 star hotels with banquets",5.0,3,1000.0,21,200,500,ncr,2
shehnai banquet,banquet halls,5.0,1,1200.0,21,250,600,ncr,2
sarovar portico naraina,"4 star & above wedding hotels, venues with rooms",5.0,1,1050.0,21,200,500,ncr,2
the grand castle,"banquet halls, 3 star hotels with banquets",5.0,2,900.0,35,200,500,ncr,4
ganpati farm house,"marriage garden / lawns, wedding farmhouses",5.0,2,650.0,4,400,600,ncr,3
vimal banquet,"banquet halls, convention / function halls",5.0,1,550.0,21,550,550,ncr,2
ramada encore by wyndham gurugram dwarka expressway,"4 star & above wedding hotels, banquet halls",5.0,2,2100.0,75,50,275,ncr,4
askon banquet,"banquet halls, convention / function halls",5.0,1,800.0,21,300,500,ncr,2
awadh greens party lawns & banquets,"banquet halls, marriage garden / lawns",5.0,2,1250.0,1,200,1000,ncr,3
vatika garden,marriage garden / lawns,5.0,1,700.0,21,500,750,ncr,2
shiv palace,banquet halls,5.0,1,55000.0,21,250,350,ncr,3
deewan jee party hall,marriage garden / lawns,5.0,1,500.0,21,600,800,ncr,2
sawariya,marriage garden / lawns,5.0,1,700.0,21,550,700,ncr,3
white house party palace,"banquet halls, convention / function halls",5.0,1,800.0,21,800,1000,ncr,2
royal castle,"banquet halls, small function / party halls",5.0,1,800.0,21,100,150,ncr,2
vasantham marriage hall,banquet halls,5.0,1,550.0,21,200,250,chennai,2
hotel southern residency,"banquet halls, 3 star hotels with banquets",5.0,2,700.0,70,80,250,chennai,3
greenfields resort,"banquet halls, marriage garden / lawns",5.0,2,350.0,21,30,400,chennai,2
sai ks mini hall,banquet halls,5.0,0,300.0,21,250,400,chennai,2
vettri krishnan mahal,banquet halls,5.0,0,500.0,21,800,1200,chennai,2
green grande inn,"banquet halls, 3 star hotels with banquets",5.0,0,400.0,24,170,300,chennai,3
a g s party hall,"banquet halls, small function / party halls",5.0,0,350.0,21,100,150,chennai,2
bsv mahal,"banquet halls, venues with rooms",5.0,0,300.0,5,300,450,chennai,3
ponni mahal,banquet halls,5.0,0,300.0,21,300,450,chennai,2
kalyan hometel,"banquet halls, 3 star hotels with banquets",5.0,0,800.0,108,300,500,chennai,3
vasantha mahal kalyan mandapam,"banquet halls, venues with rooms",5.0,0,400.0,2,800,1200,chennai,3
indira hall,banquet halls,5.0,0,300.0,21,200,300,chennai,2
novotel chennai chamiers road,"4 star & above wedding hotels, banquet halls",5.0,1,1200.0,108,100,150,chennai,3
kvns kamaraj mini hall,"banquet halls, small function / party halls",5.0,0,300.0,21,100,150,chennai,2
kumbharkar lawns,"banquet halls, marriage garden / lawns",5.0,0,60000.0,21,300,800,pune,3
dnyaneshwar mangal karyalaya,banquet halls,5.0,0,180.0,21,200,300,pune,2
seasons24 banquet,"banquet halls, convention / function halls",5.0,3,1000.0,21,800,1500,pune,2
kunal gardens,marriage garden / lawns,5.0,0,500.0,21,200,500,pune,1
yashraj inn,"marriage garden / lawns, small function / party halls",5.0,0,500.0,21,50,250,pune,2
grand hotel,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,1000.0,10,140,350,pune,3
blue berri family restaurant,marriage garden / lawns,5.0,0,350.0,21,150,200,pune,2
"celebration point, hinjewadi","banquet halls, small function / party halls",5.0,0,500.0,21,100,450,pune,2
avion holiday resort,"banquet halls, marriage garden / lawns",5.0,0,1200.0,50,100,350,pune,3
hotel span executive,"banquet halls, marriage garden / lawns",5.0,0,450.0,25,70,150,pune,3
hotel kohinoor highway,"banquet halls, 3 star hotels with banquets",5.0,0,900.0,30,180,230,pune,4
arthur theme,small function / party halls,5.0,0,700.0,21,100,150,pune,2
zaika lawns,marriage garden / lawns,5.0,0,270.0,21,450,700,pune,2
ambrosia resort,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,649.0,50,50,700,pune,3
the majestic banquet hall and lounge bar,"banquet halls, marriage garden / lawns",5.0,1,650.0,21,700,1000,pune,1
"shivar garden, pimple saudagar",banquet halls,5.0,0,550.0,21,150,250,pune,2
sri-sawai banquets,"banquet halls, convention / function halls",5.0,0,150000.0,2,450,700,pune,4
florence the lawn,marriage garden / lawns,5.0,0,650.0,21,350,550,lucknow,2
sbe banquets,banquet halls,5.0,0,1299.0,21,150,220,lucknow,2
khwaja lawn,marriage garden / lawns,5.0,0,300.0,21,600,1000,lucknow,2
shree nath marriage hall,banquet halls,5.0,0,65000.0,21,250,350,lucknow,3
tayyab marriage hall,marriage garden / lawns,5.0,0,500.0,21,300,500,lucknow,2
m r club & banquet,"banquet halls, small function / party halls",5.0,0,650.0,21,200,500,lucknow,1
ss lawn,marriage garden / lawns,5.0,0,400.0,21,300,450,lucknow,2
sammy grand,"banquet halls, 3 star hotels with banquets",5.0,0,750.0,18,100,150,lucknow,3
guru nanak marriage lawn,"banquet halls, marriage garden / lawns",5.0,0,800.0,12,650,800,lucknow,4
the lillivillas,"banquet halls, 3 star hotels with banquets",5.0,0,1400.0,37,250,300,lucknow,3
khatirdari upvan,marriage garden / lawns,5.0,0,900.0,21,500,750,lucknow,2
hotel myriad,"banquet halls, 3 star hotels with banquets",5.0,0,850.0,23,30,160,lucknow,3
maan lawn,marriage garden / lawns,5.0,0,600.0,21,500,700,lucknow,2
citizen banquet hall,"banquet halls, convention / function halls",5.0,0,300.0,21,150,500,lucknow,2
savotel,"banquet halls, 3 star hotels with banquets",5.0,0,1200.0,32,250,500,lucknow,3
vandana lawn,marriage garden / lawns,5.0,0,750.0,21,550,800,lucknow,2
hotel buddha residency,"banquet halls, 3 star hotels with banquets",5.0,0,750.0,24,100,150,lucknow,3
hotel krishna restaurant,"3 star hotels with banquets, small function / party halls",4.8,2,400.0,25,100,140,jaipur,3
b r paradise,"banquet halls, marriage garden / lawns",4.5,1,350.0,21,200,1200,jaipur,2
area 11 lounge cafe,banquet halls,5.0,0,600.0,21,120,200,jaipur,1
hotel manohar palace,"3 star hotels with banquets, small function / party halls",5.0,0,400.0,27,60,100,jaipur,3
mahadev marriage garden,marriage garden / lawns,5.0,0,600.0,21,200,500,jaipur,3
anand van,"banquet halls, marriage garden / lawns",4.5,2,1000.0,21,350,1800,jaipur,1
club trove,small function / party halls,5.0,0,700.0,21,60,150,jaipur,2
chanda garden,"marriage garden / lawns, venues with rooms",5.0,2,500.0,36,170,1500,jaipur,3
restro nh 11,"small function / party halls, small function / party halls",5.0,0,850.0,21,90,150,jaipur,2
bissau palace,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,1200.0,40,60,80,jaipur,3
reet mahal ( unit of event master llp),"banquet halls, marriage garden / lawns",5.0,0,800.0,24,400,600,jaipur,3
the artists' farm,marriage garden / lawns,5.0,0,150000.0,6,100,120,jaipur,4
savista retreat,"marriage garden / lawns, 3 star hotels with banquets",5.0,3,1550.0,21,200,500,jaipur,2
hotel bagga vilas,"banquet halls, marriage garden / lawns",5.0,0,600.0,20,100,250,jaipur,3
logan berry sky lounge,small function / party halls,5.0,0,650.0,21,40,100,jaipur,2
shubham resorts,"banquet halls, marriage garden / lawns",5.0,2,750.0,72,100,1000,jaipur,3
sawan banquets,banquet halls,5.0,2,1000.0,21,150,250,ncr,2
shantideep garden resort,"banquet halls, marriage garden / lawns",5.0,1,170000.0,21,250,700,ncr,3
kansals angana,"banquet halls, marriage garden / lawns",5.0,1,1000.0,21,200,500,ncr,1
the ananta banquet,"banquet halls, marriage garden / lawns",5.0,2,1200.0,2,250,600,ncr,3
hotel parktel,"banquet halls, 3 star hotels with banquets",4.8,2,900.0,32,30,200,ncr,4
woods cafe,"banquet halls, marriage garden / lawns",4.5,1,700.0,21,30,300,ncr,2
clarens hotel - leisure valley,"4 star & above wedding hotels, banquet halls",5.0,2,1800.0,32,50,150,ncr,3
hotel la wisteria,"banquet halls, 3 star hotels with banquets",5.0,1,700.0,20,100,150,ncr,3
shagun garden,"banquet halls, marriage garden / lawns",5.0,1,950.0,21,200,1500,ncr,2
golden spoon banquet,banquet halls,5.0,3,1400.0,21,120,400,ncr,2
wok in the clouds,"party restaurants / lounge bars, small function / party halls",4.8,4,1050.0,21,50,70,ncr,2
swagath restaurant,small function / party halls,5.0,1,695.0,21,70,150,ncr,2
eminence banquet,"banquet halls, venues with rooms",5.0,1,1200.0,1,200,300,ncr,3
sri pappammal thirumana mahal,"banquet halls, kalyana mandapams",5.0,0,250.0,21,300,450,chennai,2
s.s.k thirumana maaligai,banquet halls,5.0,0,300.0,21,210,300,chennai,3
sri ammanaa mahaall,banquet halls,5.0,0,300.0,21,350,700,chennai,2
yamnas banquet hall,"banquet halls, 3 star hotels with banquets",5.0,0,250.0,13,120,200,chennai,3
shriraj mahal,banquet halls,5.0,0,300.0,21,630,1050,chennai,2
anandavalli party hall,banquet halls,5.0,0,300.0,21,210,300,chennai,2
lakshmi balaraman thirumana koodam,"banquet halls, kalyana mandapams",5.0,1,300.0,21,600,900,chennai,3
brownstar boutique hotel,"banquet halls, 3 star hotels with banquets",5.0,0,500.0,25,120,200,chennai,3
sri ss lakshmi palace,banquet halls,5.0,0,800.0,21,400,600,chennai,2
yoga ramaswamy nadar mahal,banquet halls,5.0,0,350.0,21,500,750,chennai,2
sreesai mahal,banquet halls,5.0,0,50000.0,21,300,400,chennai,3
delhi dhabha,"banquet halls, marriage garden / lawns",5.0,0,400.0,21,100,200,chennai,2
madras gymkhana club,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,395.0,14,300,400,chennai,3
"kakade palace, kothrud","banquet halls, venues with rooms",5.0,1,500.0,2,800,1200,pune,4
the blue lake resort,"marriage garden / lawns, wedding farmhouses",5.0,0,100000.0,4,600,800,pune,4
holy mountain resort,wedding resorts,5.0,0,400.0,35,600,2000,pune,4
gulmohor village resort & farms,marriage garden / lawns,5.0,0,450.0,21,600,900,pune,2
pawana farms,marriage garden / lawns,5.0,0,100000.0,21,400,500,pune,3
heritage view resort,marriage garden / lawns,5.0,0,450.0,21,380,600,pune,2
"gokul pure veg, katraj","banquet halls, small function / party halls",5.0,1,400.0,21,200,500,pune,1
dakkhan banquet,banquet halls,5.0,0,649.0,2,200,250,pune,3
pushkaraj garden,banquet halls,5.0,0,500.0,21,250,350,pune,2
"picaddle resort, lonavala",wedding resorts,5.0,1,800.0,21,800,900,pune,2
raj palace,banquet halls,5.0,0,500.0,21,150,250,lucknow,2
veena lawn,marriage garden / lawns,5.0,0,400.0,21,350,550,lucknow,2
the awadh airport lucknow,"banquet halls, 3 star hotels with banquets",5.0,0,450.0,25,250,350,lucknow,3
sr palace,"banquet halls, convention / function halls",5.0,0,400.0,21,300,500,lucknow,2
shaury estate,marriage garden / lawns,5.0,0,700.0,21,500,700,lucknow,2
k.k.palace,marriage garden / lawns,5.0,0,500.0,21,380,600,lucknow,2
mk palace,"banquet halls, convention / function halls",5.0,0,45000.0,21,400,600,lucknow,3
nattha by indian culture,"banquet halls, 3 star hotels with banquets",4.7,5,500.0,10,60,200,lucknow,4
jagdish lawn,marriage garden / lawns,5.0,0,450.0,21,350,550,lucknow,2
shree house banquet hall,banquet halls,5.0,0,400.0,21,200,300,lucknow,2
monarca banquet hall n lawn,"banquet halls, marriage garden / lawns",5.0,0,1000.0,21,500,1000,lucknow,3
hotel sudha inn,"banquet halls, 3 star hotels with banquets",5.0,0,899.0,20,350,500,lucknow,3
shakuntala marriage hall,banquet halls,5.0,0,450.0,21,250,350,lucknow,2
prithvi guest house,"marriage garden / lawns, 3 star hotels with banquets",4.5,1,850.0,15,400,2000,lucknow,3
man mandir marriage garden,marriage garden / lawns,5.0,0,400.0,21,750,1000,jaipur,2
choudhary kanaram paradise,marriage garden / lawns,5.0,0,500.0,21,800,1100,jaipur,2
hotel panchsheel,"banquet halls, 3 star hotels with banquets",5.0,0,300.0,20,120,200,jaipur,3
the land sand hotel,"banquet halls, 3 star hotels with banquets",5.0,0,750.0,24,100,150,jaipur,4
sarover marriage garden,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,200,1500,jaipur,2
sant shri krishna,"banquet halls, marriage garden / lawns",5.0,0,450.0,10,200,500,jaipur,4
kanhaiya lal halwai,"banquet halls, convention / function halls",5.0,0,500.0,21,400,500,jaipur,3
leeway banquet,banquet halls,5.0,0,800.0,21,120,180,jaipur,2
radha govind villas marriage garden,"banquet halls, marriage garden / lawns",4.5,1,500.0,21,100,1500,jaipur,2
ka10 square hotel & banquets,"banquet halls, 3 star hotels with banquets",5.0,1,700.0,19,50,150,jaipur,3
tadka banquet,small function / party halls,5.0,0,600.0,21,60,100,jaipur,2
abhinandan garden,"banquet halls, marriage garden / lawns",5.0,1,400.0,21,150,2000,jaipur,2
garden house,marriage garden / lawns,5.0,0,600.0,21,300,1000,jaipur,2
hotel mohan,"banquet halls, 3 star hotels with banquets",5.0,0,700.0,60,50,80,jaipur,3
hotel sarvmangla garden,"banquet halls, marriage garden / lawns",5.0,0,800.0,20,200,1000,jaipur,3
jaipur gymkhana club,"marriage garden / lawns, wedding resorts",5.0,0,549.0,30,300,600,jaipur,3
natraj greens,marriage garden / lawns,5.0,1,850.0,21,700,1000,ncr,2
courtyard by marriott aravali resort,"banquet halls, marriage garden / lawns",5.0,1,4000.0,150,100,350,ncr,3
govindam bhawan,banquet halls,5.0,1,800.0,21,125,350,ncr,2
uforia,"party restaurants / lounge bars, banquet halls",5.0,1,1200.0,21,200,300,ncr,2
cherish forever,"banquet halls, convention / function halls",5.0,5,1400.0,21,120,550,ncr,2
junction 36,"banquet halls, convention / function halls",5.0,1,700.0,21,500,600,ncr,2
sydney grand by pandhi decorators,"banquet halls, marriage garden / lawns",5.0,1,1850.0,25,300,2000,ncr,3
the retreat resort,"marriage garden / lawns, 3 star hotels with banquets",5.0,1,500.0,18,100,600,ncr,3
satyam banquets,"banquet halls, venues with rooms",5.0,2,900.0,13,50,300,ncr,3
ashirwad greens,"banquet halls, marriage garden / lawns",5.0,1,800.0,21,200,400,ncr,2
aggarwal bhawan,banquet halls,5.0,2,900.0,21,350,450,ncr,2
maha periyava utsav sthala - mpus banquet hall,"banquet halls, venues with rooms",5.0,0,60000.0,4,250,300,chennai,4
udayam mahal,banquet halls,5.0,1,400.0,21,400,500,chennai,2
sri annai party hall,banquet halls,5.0,0,300.0,21,300,450,chennai,2
chellammal sakthi thirumana maaligai,banquet halls,5.0,0,300.0,21,500,700,chennai,2
srs kalyana mandapam,"banquet halls, kalyana mandapams",5.0,0,350.0,12,350,500,chennai,3
la chocolate,"party restaurants / lounge bars, small function / party halls",5.0,0,300.0,21,30,50,chennai,2
shree hall,"banquet halls, venues with rooms",5.0,1,500.0,10,250,900,chennai,3
paati veedu,"party restaurants / lounge bars, banquet halls",5.0,0,1000.0,21,100,150,chennai,2
reva hall,banquet halls,5.0,1,27000.0,5,200,300,chennai,4
food village banquet hall and lawn,banquet halls,5.0,1,350.0,21,300,450,chennai,2
vishnu mahal,banquet halls,5.0,0,500.0,2,120,700,chennai,4
selvi marriage hall,banquet halls,5.0,0,300.0,21,300,450,chennai,2
sree akshayam vaibhavam hall,"banquet halls, small function / party halls",5.0,3,250.0,21,100,150,chennai,2
nadhaswaram function hall,"banquet halls, convention / function halls",5.0,1,300.0,21,120,200,chennai,2
ambassador pallava hotel,"4 star & above wedding hotels, banquet halls",5.0,2,900.0,100,50,650,chennai,3
maruvoor arasi gardens,banquet halls,5.0,0,700.0,21,200,500,chennai,1
enrise by sayaji hotel,"banquet halls, marriage garden / lawns",5.0,0,799.0,29,210,350,pune,3
parinay mangal karyalaya,"banquet halls, destination wedding venues",5.0,0,800.0,40,300,400,pune,3
hotel basera,"banquet halls, 3 star hotels with banquets",5.0,0,600.0,53,100,200,pune,3
atlantis,small function / party halls,5.0,1,700.0,21,80,100,pune,3
denit banquet hall,"banquet halls, small function / party halls",5.0,0,600.0,21,60,100,pune,2
basilica holiday home,"banquet halls, marriage garden / lawns",5.0,0,400.0,45,70,1000,pune,3
"hotel supreme heritage, kalyani nagar","banquet halls, small function / party halls",5.0,0,550.0,42,90,300,pune,3
hotel shipra regency,"banquet halls, 3 star hotels with banquets",5.0,0,300.0,28,250,330,pune,3
suchitra saunskrutik hall,banquet halls,5.0,0,60000.0,21,120,150,pune,3
"chandrabhaga lawns, pimpri",marriage garden / lawns,5.0,0,650.0,21,200,500,pune,1
glory celebrations,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,10,100,250,pune,3
premier inn,"banquet halls, marriage garden / lawns",5.0,0,600.0,109,600,750,pune,3
clarinet lawn,"banquet halls, marriage garden / lawns",5.0,0,600.0,21,60,700,lucknow,2
lucknow imperial garden,marriage garden / lawns,5.0,0,45000.0,21,800,1000,lucknow,3
aadya lawn & resort,"banquet halls, marriage garden / lawns",5.0,0,500.0,21,200,500,lucknow,2
hotel ss4 crystals,"banquet halls, 3 star hotels with banquets",5.0,0,1299.0,14,60,100,lucknow,3
the marigold banquet,banquet halls,5.0,0,600.0,21,120,200,lucknow,2
vintage greens farm,"banquet halls, marriage garden / lawns",5.0,2,799.0,2,500,700,lucknow,3
mahdi's lawn,marriage garden / lawns,5.0,0,45000.0,21,250,300,lucknow,3
celebration palace,"banquet halls, marriage garden / lawns",5.0,0,600.0,21,250,500,lucknow,2
mangalam banquet hall,"banquet halls, convention / function halls",5.0,1,700.0,21,250,500,lucknow,2
santorini resort,"banquet halls, marriage garden / lawns",5.0,1,1050.0,42,120,600,lucknow,3
ishanika hotel,"banquet halls, marriage garden / lawns",5.0,1,800.0,21,200,500,lucknow,2
saubhagya marriage lawn,"banquet halls, marriage garden / lawns",5.0,0,20000.0,3,150,200,lucknow,4
rim jhim palace,banquet halls,5.0,0,450.0,21,100,150,lucknow,2
babul paradise garden,marriage garden / lawns,5.0,0,400.0,21,700,1000,jaipur,2
new ganpati garden,marriage garden / lawns,5.0,0,450.0,21,400,600,jaipur,2
hotel jaipur pride,"banquet halls, 3 star hotels with banquets",5.0,0,400.0,14,50,100,jaipur,3
hotel k mahaveer,"banquet halls, marriage garden / lawns",5.0,0,650.0,40,700,1000,jaipur,2
kanak palace garden,marriage garden / lawns,5.0,0,450.0,21,380,600,jaipur,2
the deep purple,small function / party halls,5.0,0,700.0,21,40,100,jaipur,2
hotel mamta paradise,"banquet halls, 3 star hotels with banquets",5.0,0,600.0,25,170,250,jaipur,3
sodhani farm,"banquet halls, marriage garden / lawns",5.0,1,800.0,21,200,500,jaipur,2
apex intercontinental,"banquet halls, 3 star hotels with banquets",5.0,2,500.0,21,200,500,jaipur,2
yohaan farms,"marriage garden / lawns, wedding farmhouses",5.0,1,1000.0,4,300,500,jaipur,4
hotel avana,"banquet halls, 3 star hotels with banquets",5.0,0,500.0,18,450,550,jaipur,4
hotel magenta,"banquet halls, 3 star hotels with banquets",5.0,1,600.0,33,150,150,jaipur,3
green orchid,"banquet halls, convention / function halls",5.0,2,1200.0,21,600,1000,ncr,3
inde hotel vista woods,"banquet halls, 3 star hotels with banquets",5.0,0,750.0,29,20,100,ncr,3
upadhyay banquet & a/c hall,"banquet halls, convention / function halls",5.0,1,500.0,21,350,500,ncr,2
"royale banquet hall, malviya nagar","banquet halls, small function / party halls",5.0,1,1500.0,21,90,300,ncr,2
bikanervala,small function / party halls,5.0,1,1000.0,21,80,150,ncr,2
caspia hotel,"banquet halls, 3 star hotels with banquets",5.0,2,1400.0,142,25,100,ncr,2
pullman & novotel - new delhi-aerocity,"4 star & above wedding hotels, banquet halls",4.8,5,3500.0,670,700,1500,ncr,3
ndmc barat ghar,"banquet halls, convention / function halls",4.8,3,750.0,21,400,600,ncr,3
sree amruthaa palace,banquet halls,5.0,0,600.0,21,400,600,chennai,2
annai arul thirumana maaligai,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,11,400,600,chennai,3
risa banquets,"banquet halls, small function / party halls",5.0,3,300000.0,14,800,2000,chennai,4
v7 hotel,"banquet halls, 3 star hotels with banquets",5.0,0,890.0,64,80,350,chennai,3
vgp pandian hall,"banquet halls, venues with rooms",5.0,0,500.0,3,300,450,chennai,4
al malick marriage hall,banquet halls,5.0,0,300.0,21,600,900,chennai,2
saibala grand hotel,"banquet halls, small function / party halls",5.0,0,450.0,21,80,200,chennai,2
dakshinamurthy auditorium,banquet halls,5.0,0,350.0,21,750,800,chennai,2
tommaso inn,"3 star hotels with banquets, small function / party halls",5.0,0,450.0,20,150,200,chennai,3
sri serndhaiyan mahal ac,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,16,700,1000,chennai,3
11th avenue,"banquet halls, venues with rooms",5.0,0,800.0,2,150,200,chennai,4
hotel blu iris,"banquet halls, 3 star hotels with banquets",5.0,0,600.0,42,150,250,chennai,3
vk hall,"banquet halls, kalyana mandapams",5.0,0,300.0,21,300,450,chennai,2
sri padma ram ganesh mahal,"banquet halls, venues with rooms",5.0,4,200000.0,14,150,800,chennai,4
a.j.g marriage hall,banquet halls,5.0,0,800.0,5,700,1000,chennai,3
4 seasons resorts,"marriage garden / lawns, 3 star hotels with banquets",5.0,0,700.0,11,60,100,pune,3
sahyadri banquet hall,"banquet halls, convention / function halls",5.0,0,500.0,2,300,500,pune,4
log inn plaza,"banquet halls, marriage garden / lawns",5.0,0,600.0,49,200,500,pune,3
hotel studio estique,"3 star hotels with banquets, small function / party halls",5.0,0,700.0,23,30,150,pune,3
e - square the fern hotel pune,"4 star & above wedding hotels, banquet halls",5.0,2,950.0,55,250,350,pune,3
kalashree banquets,"banquet halls, marriage garden / lawns",5.0,0,600.0,4,370,800,pune,4
tulja bhawani mangal karyalaya,"banquet halls, marriage garden / lawns",5.0,0,90000.0,21,200,500,pune,2
nirmal bag banquet hall,banquet halls,5.0,0,500.0,21,130,150,pune,3
bhama lake resort,"banquet halls, marriage garden / lawns",5.0,0,999.0,20,75,600,pune,3
savai farm house,"small function / party halls, venues with rooms",5.0,1,250.0,8,50,100,pune,3
vivekanand hall,"banquet halls, small function / party halls",5.0,0,250.0,21,100,150,pune,2
the green roof,banquet halls,5.0,0,850.0,21,150,170,pune,2
fames banquet hall,banquet halls,5.0,0,499.0,2,250,300,pune,3
"vinakar sabhagruh, katraj","banquet halls, convention / function halls",5.0,0,250.0,21,500,750,pune,2
rajmata jijau sanskrutik bhavan,"banquet halls, marriage garden / lawns",5.0,0,80000.0,21,180,400,pune,3
eldeco city club house,marriage garden / lawns,5.0,0,550.0,21,200,300,lucknow,2
pomona banquets,"banquet halls, venues with rooms",5.0,0,1199.0,2,100,150,lucknow,3
royal palace,banquet halls,5.0,0,600.0,21,150,200,lucknow,2
golden garden,marriage garden / lawns,5.0,0,500.0,21,700,1000,lucknow,2
bbc lawn,marriage garden / lawns,5.0,0,60000.0,21,600,800,lucknow,3
vishesh resort,banquet halls,5.0,0,750.0,21,300,450,lucknow,2
sai vatika,"banquet halls, 3 star hotels with banquets",5.0,0,400.0,11,350,400,lucknow,4
shivaji sabhagar,banquet halls,5.0,0,600.0,21,250,400,lucknow,2
hotel savvy grand,"banquet halls, 3 star hotels with banquets",5.0,0,1450.0,43,220,400,lucknow,3
avadh club,"marriage garden / lawns, venues with rooms",5.0,0,350.0,5,300,450,lucknow,3
hotel vaibhav inn,"banquet halls, marriage garden / lawns",5.0,0,700.0,21,200,500,lucknow,2
yash lawns and banquets,"banquet halls, marriage garden / lawns",5.0,0,1500.0,21,60,600,lucknow,2
out - once upon a terrace,small function / party halls,5.0,0,700.0,21,50,100,jaipur,2
waylay express,marriage garden / lawns,5.0,0,650.0,21,200,500,jaipur,1
hotel shiv palace,"banquet halls, marriage garden / lawns",5.0,0,750.0,25,200,700,jaipur,2
pinkcity garden & resorts,"banquet halls, marriage garden / lawns",5.0,1,600.0,21,200,500,jaipur,1
shyam van marriage garden,"banquet halls, marriage garden / lawns",5.0,0,600.0,21,150,800,jaipur,2
hotel gitanjali,"banquet halls, 3 star hotels with banquets",5.0,0,350.0,21,200,500,jaipur,2
royal orchid resort & banquets,"banquet halls, marriage garden / lawns",5.0,0,700.0,25,150,700,jaipur,4
heritage marriage garden,"banquet halls, marriage garden / lawns",5.0,0,600.0,35,350,2000,jaipur,3
baba paradise marriage garden,marriage garden / lawns,5.0,1,400.0,21,200,500,jaipur,1
sunrise health resort,"banquet halls, marriage garden / lawns",5.0,1,500.0,80,60,800,jaipur,3
